CustomerID,TotalBalance,Limit,NumCredit,NumChecking,NumSavings
C000001,535.1505208237745,24081.773437069853,1,0,0
C000002,338.8898741204574,8485.566469870442,1,1,0
C000003,5296.47458426689,194546.09513562568,1,2,0
C000004,1175.6992200601742,,0,0,1
C000005,300.342310530943,,0,1,0
C000006,648.1559805653955,,0,0,1
C000007,636.9777778562233,28664.000003530047,1,0,0
C000008,674.7621368697982,30364.296159140915,1,0,0
C000009,2460.971262605018,,0,1,1
C000010,32.98081291610694,,0,1,0
C000011,621.3796827065057,27962.08572179276,1,0,0
C000012,1700.732749519075,,0,0,1
C000013,319.36928169789223,,0,1,0
C000014,2797.632723497337,,0,1,1
C000015,838.7555973340419,,0,0,1
C000016,1100.0809576327636,,0,0,1
C000017,2615.461151262998,91458.12914449433,2,1,0
C000018,1024.8118324869183,,0,0,1
C000019,685.5434291015613,,0,1,1
C000020,1762.1145244279132,38038.53439630714,2,0,1
C000021,1259.4542027426537,,0,0,1
C000022,378.92939832272367,17051.822924522563,1,0,0
C000023,403.8006636491974,8313.614298055072,1,1,0
C000024,1472.1635886117317,,0,0,1
C000025,184.8647996103841,8318.915982467284,1,0,0
C000026,1521.1386975204434,,0,0,1
C000027,788.8108871446115,35496.48992150751,1,0,0
C000028,3859.8101828605622,,0,0,3
C000029,198.60835401518608,8937.375930683374,1,0,0
C000030,1790.5014863016593,,0,2,1
C000031,1128.6403884036001,50788.817478162004,2,0,0
C000032,181.57805445462972,,0,1,0
C000033,140.96744464193415,,0,1,0
C000034,998.0049203987644,44910.2214179444,1,0,0
C000035,1101.2879139513886,15399.50789997702,1,0,1
C000036,4264.530464605686,25788.30297618111,1,1,1
C000037,85.0767345862013,,0,1,0
C000038,403.94556411186755,12017.738808913064,1,1,0
C000039,1605.312812747066,,0,0,1
C000040,1253.3761908583415,,0,0,1
C000041,764.3096884834766,34393.93598175645,1,0,0
C000042,937.7307643650051,,0,3,0
C000043,1460.909336664747,11960.458326099217,1,3,0
C000044,975.4979680166967,43897.408560751355,2,0,0
C000045,80.16078504677591,,0,1,0
C000046,132.87637255463412,,0,1,0
C000047,1592.13732887685,,0,0,1
C000048,2484.3555714067907,16065.266215199656,1,0,1
C000049,2843.8883703599877,74286.5425527498,1,0,1
C000050,404.6761779573156,18210.4280080792,1,0,0
C000051,3359.9956331510166,,0,0,1
C000052,1213.816758053185,54621.75411239331,1,0,0
C000053,1956.0079238217008,13927.64949833762,1,1,2
C000054,963.2855022350776,,0,0,1
C000055,2031.3290480565004,,0,0,1
C000056,81.83172635195248,,0,1,0
C000057,107.77616761781766,,0,1,0
C000058,220.52121925812105,,0,1,0
C000059,134.08990197055604,,0,1,0
C000060,104.77547768468185,,0,1,0
C000061,5006.517674348587,,0,2,1
C000062,347.472638826536,15636.26874719412,1,0,0
C000063,2447.139266519694,,0,1,1
C000064,2584.9261545320596,19140.173117270184,1,2,1
C000065,1924.4563093360475,,0,0,1
C000066,2776.567612187174,12564.439668505049,1,2,1
C000067,585.9032309405264,26365.645392323688,1,0,0
C000068,582.1477164986709,,0,2,0
C000069,222.4857515867444,,0,1,0
C000070,585.7818835948023,26360.1847617661,1,0,0
C000071,256.8063798123613,,0,1,0
C000072,1777.2175808119187,79974.79113653634,3,0,0
C000073,146.68918186396752,,0,1,0
C000074,2501.012883270111,25418.972805922906,1,0,1
C000075,441.88705060285946,19884.91727712868,1,0,0
C000076,1845.3007774906127,,0,0,1
C000077,605.028171270854,20548.863938837378,1,1,0
C000078,2252.596662915148,,0,0,1
C000079,853.9710683477012,,0,2,0
C000080,208.44703183187104,9380.116432434195,1,0,0
C000081,655.1154666588845,29480.195999649804,1,0,0
C000082,49.34537126626941,,0,1,0
C000083,1149.780200210288,,0,1,1
C000084,1945.517767915286,,0,0,1
